i	date	DJIA-MINS
648	12/6/2006 15:58	12307.65
649	12/6/2006 16:00	12311.41
650	12/6/2006 16:02	12309.49
651	12/6/2006 16:05	12309.25
652	12/7/2006 9:31	12325.51
653	12/7/2006 9:33	12343.3
654	12/7/2006 9:36	12344.98
655	12/7/2006 9:39	12345.22
656	12/7/2006 9:41	12349.47
657	12/7/2006 9:44	12352.43
658	12/7/2006 9:47	12354.03
659	12/7/2006 9:49	12348.99
660	12/7/2006 9:52	12351.79
661	12/7/2006 9:56	12356.6
662	12/7/2006 9:58	12356.68
663	12/7/2006 10:04	12341.37
664	12/7/2006 10:06	12346.82
665	12/7/2006 10:09	12348.58
666	12/7/2006 10:12	12340.41
667	12/7/2006 10:14	12335.53
668	12/7/2006 10:20	12335.61
669	12/7/2006 10:22	12335.53
670	12/7/2006 10:25	12333.76
671	12/7/2006 10:28	12334
672	12/7/2006 10:30	12328.16
673	12/7/2006 10:33	12328.48
674	12/7/2006 10:36	12332.32
675	12/7/2006 10:38	12332.48
676	12/7/2006 10:41	12332.64
677	12/7/2006 10:44	12307.09
678	12/7/2006 10:46	12302.76
679	12/7/2006 10:49	12306.05
680	12/7/2006 10:53	12308.21
681	12/7/2006 10:55	12310.61
682	12/7/2006 10:58	12312.77
683	12/7/2006 11:01	12313.66
684	12/7/2006 11:03	12311.33
685	12/7/2006 11:05	12315.74
686	12/7/2006 11:09	12313.9
687	12/7/2006 11:10	12310.37
688	12/7/2006 11:13	12312.37
689	12/7/2006 11:16	12316.06
690	12/7/2006 11:18	12310.77
691	12/7/2006 11:21	12308.13
692	12/7/2006 11:24	12300.44
693	12/7/2006 11:25	12303
694	12/7/2006 11:28	12298.75
695	12/7/2006 11:30	12298.84
696	12/7/2006 11:32	12303.4
697	12/7/2006 11:34	12303.64
698	12/7/2006 11:37	12305.32
699	12/7/2006 11:38	12302.04
700	12/7/2006 11:40	12301.16
701	12/7/2006 11:43	12303.4
702	12/7/2006 11:45	12299.16
703	12/7/2006 11:47	12304.84
704	12/7/2006 11:50	12308.85
705	12/7/2006 11:51	12314.06
706	12/7/2006 11:54	12315.5
707	12/7/2006 11:57	12317.9
708	12/7/2006 11:59	12313.01
709	12/7/2006 12:01	12314.54
710	12/7/2006 12:03	12306.61
711	12/7/2006 12:05	12310.13
712	12/7/2006 12:07	12310.53
713	12/7/2006 12:09	12311.09
714	12/7/2006 12:11	12311.89
715	12/7/2006 12:13	12312.29
716	12/7/2006 12:16	12314.78
717	12/7/2006 12:17	12313.82
718	12/7/2006 12:19	12316.46
719	12/7/2006 12:22	12317.18
720	12/7/2006 12:24	12317.98
721	12/7/2006 12:26	12315.98
722	12/7/2006 12:29	12317.98
723	12/7/2006 12:30	12317.1
724	12/7/2006 12:33	12314.38
725	12/7/2006 12:35	12316.3
726	12/7/2006 12:37	12318.62
727	12/7/2006 12:39	12316.22
728	12/7/2006 12:42	12313.26
729	12/7/2006 12:44	12318.06
730	12/7/2006 12:46	12317.1
731	12/7/2006 12:49	12312.69
732	12/7/2006 12:51	12313.26
733	12/7/2006 12:53	12312.05
734	12/7/2006 12:57	12312.21
735	12/7/2006 12:59	12311.73
736	12/7/2006 13:01	12310.61
737	12/7/2006 13:04	12310.85
738	12/7/2006 13:05	12310.53
739	12/7/2006 13:07	12313.26
740	12/7/2006 13:10	12312.85
741	12/7/2006 13:11	12313.58
742	12/7/2006 13:13	12312.61
743	12/7/2006 13:16	12314.54
744	12/7/2006 13:18	12313.1
745	12/7/2006 13:20	12314.7
746	12/7/2006 13:23	12314.38
747	12/7/2006 13:24	12315.26
748	12/7/2006 13:26	12321.59
749	12/7/2006 13:29	12322.71
750	12/7/2006 13:31	12323.11
751	12/7/2006 13:33	12319.82
752	12/7/2006 13:36	12314.78
753	12/7/2006 13:38	12315.02
754	12/7/2006 13:40	12315.18
755	12/7/2006 13:43	12313.82
756	12/7/2006 13:45	12313.42
757	12/7/2006 13:47	12314.62
758	12/7/2006 13:50	12316.46
759	12/7/2006 13:52	12315.82
760	12/7/2006 13:54	12315.02
761	12/7/2006 13:57	12312.77
762	12/7/2006 13:59	12311.41
763	12/7/2006 14:01	12305.88
764	12/7/2006 14:04	12303
765	12/7/2006 14:06	12304.84
766	12/7/2006 14:08	12301.56
767	12/7/2006 14:11	12293.39
768	12/7/2006 14:13	12295.79
769	12/7/2006 14:15	12297.39
770	12/7/2006 14:18	12298.19
771	12/7/2006 14:19	12296.03
772	12/7/2006 14:22	12296.11
773	12/7/2006 14:24	12290.9
774	12/7/2006 14:26	12281.61
775	12/7/2006 14:28	12284.25
